pref,city,intersection,hiragana,address,lat,lon
鳥取県,鳥取市,幸町交差点,さいわいちょうこうさてん,鳥取市幸町２２番地,35.494585,134.222911
鳥取県,鳥取市,末広温泉町交差点,すえひろおんせんちょうこうさてん,鳥取市末広温泉町４６２番地５,35.494787,134.230737
鳥取県,米子市,米子駅前交差点,よなごえきまえこうさてん,米子市明治町１２５番地,35.423643,133.335626
鳥取県,米子市,ビッグシップ前交差点,びっぐしっぷまえこうさてん,米子市末広町２９３番地,35.422551,133.334797
鳥取県,倉吉市,倉吉体育文化会館入口交差点,くらよしたいいくぶんかかいかんいりぐちこうさてん,倉吉市山根５８２番地４号,35.449477,133.849397
広島県,広島市,光町２丁目６番北交差点,ひかりまちにちょうめろくばんきたこうさてん,広島市東区光町二丁目６番１号先,34.401707,132.479316
広島県,広島市,光町２丁目６番交差点,ひかりまちにちょうめろくばんこうさてん,広島市東区光町二丁目６番３４号先,34.401899,132.478449
山口県,山口市,竪小路交差点,たてこうじこうさてん,山口市下竪小路７９番地先,34.180652,131.480184
徳島県,徳島市,障がい者交流プラザ入口交差点,しょうがいしゃこうりゅうぷらざいりぐちこうさてん,徳島市南矢三町二丁目１番５９号,34.085439,134.525431
徳島県,徳島市,二軒屋駅前交差点,にけんやえきまえこうさてん,徳島市南二軒屋町一丁目１番２８号,34.054376,134.545826
